                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1054,                 4.3239,                 4.2168,                0.00289,                0.71642,                 0.0045,                0.00159,                 2.5766,                  4.446,                 4.1257,                 0.0784,                 0.0024,                 0.0024
                      1,                 3.1307,                  4.266,                 4.1746,                0.00219,                0.61129,                0.00493,                0.00176,                 2.5876,                 4.4516,                 4.0979,               0.053475,              0.0024745,              0.0024745
